player_id,name,team,pos,proj_points,tier,bye,injury_risk,base_custom_points,estimated_bonus_points,adp
EX111,Example QB3,T03,QB,394.6,1,7,0.075,394.6,0.0,30
EX062,Example WR14,T14,WR,291.2,3,8,0.0,291.2,0.0,31
EX013,Example RB13,T13,RB,281.4,3,7,0.15,281.4,0.0,32
EX063,Example WR15,T15,WR,288.6,3,9,0.025,288.6,0.0,33
EX135,Example TE3,T03,TE,238.6,1,7,0.075,238.6,0.0,34
EX014,Example RB14,T14,RB,278.6,3,8,0.0,278.6,0.0,35
EX064,Example WR16,T16,WR,286.0,3,10,0.05,286.0,0.0,36
EX065,Example WR17,T17,WR,283.4,3,11,0.075,283.4,0.0,37
EX112,Example QB4,T04,QB,389.4,1,8,0.1,389.4,0.0,38
EX015,Example RB15,T15,RB,275.8,3,9,0.025,275.8,0.0,39
EX066,Example WR18,T18,WR,280.8,3,12,0.1,280.8,0.0,40
EX016,Example RB16,T16,RB,273.0,3,10,0.05,273.0,0.0,41
EX136,Example TE4,T04,TE,235.4,1,8,0.1,235.4,0.0,42
EX067,Example WR19,T19,WR,278.2,4,13,0.125,278.2,0.0,43
EX017,Example RB17,T17,RB,270.2,3,11,0.075,270.2,0.0,44
EX068,Example WR20,T20,WR,275.6,4,14,0.15,275.6,0.0,45
EX113,Example QB5,T05,QB,384.2,1,9,0.125,384.2,0.0,46
EX018,Example RB18,T18,RB,267.4,3,12,0.1,267.4,0.0,47
EX069,Example WR21,T21,WR,273.0,4,5,0.0,273.0,0.0,48
EX137,Example TE5,T05,TE,232.2,1,9,0.125,232.2,0.0,49
EX019,Example RB19,T19,RB,264.6,4,13,0.125,264.6,0.0,50
EX070,Example WR22,T22,WR,270.4,4,6,0.025,270.4,0.0,51
EX020,Example RB20,T20,RB,261.8,4,14,0.15,261.8,0.0,52
EX071,Example WR23,T23,WR,267.8,4,7,0.05,267.8,0.0,53
EX114,Example QB6,T06,QB,379.0,1,10,0.15,379.0,0.0,54
EX072,Example WR24,T24,WR,265.2,4,8,0.075,265.2,0.0,55
EX021,Example RB21,T21,RB,259.0,4,5,0.0,259.0,0.0,56
EX138,Example TE6,T06,TE,229.0,1,10,0.15,229.0,0.0,57
EX073,Example WR25,T25,WR,262.6,5,9,0.1,262.6,0.0,58
EX022,Example RB22,T22,RB,256.2,4,6,0.025,256.2,0.0,59
EX074,Example WR26,T26,WR,260.0,5,10,0.125,260.0,0.0,60
EX023,Example RB23,T23,RB,253.4,4,7,0.05,253.4,0.0,61
EX115,Example QB7,T07,QB,373.8,2,11,0.0,373.8,0.0,62
EX139,Example TE7,T07,TE,225.8,2,11,0.0,225.8,0.0,63
EX075,Example WR27,T27,WR,257.4,5,11,0.15,257.4,0.0,64
EX024,Example RB24,T24,RB,250.6,4,8,0.075,250.6,0.0,65
EX076,Example WR28,T28,WR,254.8,5,12,0.0,254.8,0.0,66
EX025,Example RB25,T25,RB,247.8,5,9,0.1,247.8,0.0,67
EX077,Example WR29,T29,WR,252.2,5,13,0.025,252.2,0.0,68
EX140,Example TE8,T08,TE,222.6,2,12,0.025,222.6,0.0,69
EX026,Example RB26,T26,RB,245.0,5,10,0.125,245.0,0.0,70
EX116,Example QB8,T08,QB,368.6,2,12,0.025,368.6,0.0,71
EX078,Example WR30,T30,WR,249.6,5,14,0.05,249.6,0.0,72
EX079,Example WR31,T31,WR,247.0,6,5,0.075,247.0,0.0,73
EX027,Example RB27,T27,RB,242.2,5,11,0.15,242.2,0.0,74
EX080,Example WR32,T32,WR,244.4,6,6,0.1,244.4,0.0,75
EX028,Example RB28,T28,RB,239.4,5,12,0.0,239.4,0.0,76
EX141,Example TE9,T09,TE,219.4,2,13,0.05,219.4,0.0,77
EX081,Example WR33,T01,WR,241.8,6,7,0.125,241.8,0.0,78
EX117,Example QB9,T09,QB,363.4,2,13,0.05,363.4,0.0,79
EX029,Example RB29,T29,RB,236.6,5,13,0.025,236.6,0.0,80
EX082,Example WR34,T02,WR,239.2,6,8,0.15,239.2,0.0,81
EX030,Example RB30,T30,RB,233.8,5,14,0.05,233.8,0.0,82
EX083,Example WR35,T03,WR,236.6,6,9,0.0,236.6,0.0,83
EX142,Example TE10,T10,TE,216.2,2,14,0.075,216.2,0.0,84
EX031,Example RB31,T31,RB,231.0,6,5,0.075,231.0,0.0,85
EX084,Example WR36,T04,WR,234.0,6,10,0.025,234.0,0.0,86
EX118,Example QB10,T10,QB,358.2,2,14,0.075,358.2,0.0,87
EX032,Example RB32,T32,RB,228.2,6,6,0.1,228.2,0.0,88
EX085,Example WR37,T05,WR,231.4,7,11,0.05,231.4,0.0,89
EX086,Example WR38,T06,WR,228.8,7,12,0.075,228.8,0.0,90
EX033,Example RB33,T01,RB,225.4,6,7,0.125,225.4,0.0,91
EX143,Example TE11,T11,TE,213.0,2,5,0.1,213.0,0.0,92
EX087,Example WR39,T07,WR,226.2,7,13,0.1,226.2,0.0,93
EX034,Example RB34,T02,RB,222.6,6,8,0.15,222.6,0.0,94
EX119,Example QB11,T11,QB,353.0,2,5,0.1,353.0,0.0,95
EX088,Example WR40,T08,WR,223.6,7,14,0.125,223.6,0.0,96
EX035,Example RB35,T03,RB,219.8,6,9,0.0,219.8,0.0,97
EX089,Example WR41,T09,WR,221.0,7,5,0.15,221.0,0.0,98
EX144,Example TE12,T12,TE,209.8,2,6,0.125,209.8,0.0,99
EX036,Example RB36,T04,RB,217.0,6,10,0.025,217.0,0.0,100
EX090,Example WR42,T10,WR,218.4,7,6,0.0,218.4,0.0,101
EX037,Example RB37,T05,RB,214.2,7,11,0.05,214.2,0.0,102
EX120,Example QB12,T12,QB,347.8,2,6,0.125,347.8,0.0,103
EX091,Example WR43,T11,WR,215.8,8,7,0.025,215.8,0.0,104
EX038,Example RB38,T06,RB,211.4,7,12,0.075,211.4,0.0,105
EX092,Example WR44,T12,WR,213.2,8,8,0.05,213.2,0.0,106
EX145,Example TE13,T13,TE,206.6,3,7,0.15,206.6,0.0,107
EX093,Example WR45,T13,WR,210.6,8,9,0.075,210.6,0.0,108
EX039,Example RB39,T07,RB,208.6,7,13,0.1,208.6,0.0,109
EX094,Example WR46,T14,WR,208.0,8,10,0.1,208.0,0.0,110
EX121,Example QB13,T13,QB,342.6,3,7,0.15,342.6,0.0,111
EX040,Example RB40,T08,RB,205.8,7,14,0.125,205.8,0.0,112
EX095,Example WR47,T15,WR,205.4,8,11,0.125,205.4,0.0,113
EX146,Example TE14,T14,TE,203.4,3,8,0.0,203.4,0.0,114
EX041,Example RB41,T09,RB,203.0,7,5,0.15,203.0,0.0,115
EX096,Example WR48,T16,WR,202.8,8,12,0.15,202.8,0.0,116
EX042,Example RB42,T10,RB,200.2,7,6,0.0,200.2,0.0,117
EX097,Example WR49,T17,WR,200.2,9,13,0.0,200.2,0.0,118
EX122,Example QB14,T14,QB,337.4,3,8,0.0,337.4,0.0,119
EX043,Example RB43,T11,RB,197.4,8,7,0.025,197.4,0.0,120
EX098,Example WR50,T18,WR,197.6,9,14,0.025,197.6,0.0,121
EX147,Example TE15,T15,TE,200.2,3,9,0.025,200.2,0.0,122
EX044,Example RB44,T12,RB,194.6,8,8,0.05,194.6,0.0,123
EX099,Example WR51,T19,WR,195.0,9,5,0.05,195.0,0.0,124
EX100,Example WR52,T20,WR,192.4,9,6,0.075,192.4,0.0,125
EX045,Example RB45,T13,RB,191.8,8,9,0.075,191.8,0.0,126
EX123,Example QB15,T15,QB,332.2,3,9,0.025,332.2,0.0,127
EX148,Example TE16,T16,TE,197.0,3,10,0.05,197.0,0.0,128
EX101,Example WR53,T21,WR,189.8,9,7,0.1,189.8,0.0,129
EX046,Example RB46,T14,RB,189.0,8,10,0.1,189.0,0.0,130
EX102,Example WR54,T22,WR,187.2,9,8,0.125,187.2,0.0,131
EX047,Example RB47,T15,RB,186.2,8,11,0.125,186.2,0.0,132
EX103,Example WR55,T23,WR,184.6,10,9,0.15,184.6,0.0,133
EX048,Example RB48,T16,RB,183.4,8,12,0.15,183.4,0.0,134
EX124,Example QB16,T16,QB,327.0,3,10,0.05,327.0,0.0,135
EX149,Example TE17,T17,TE,193.8,3,11,0.075,193.8,0.0,136
EX104,Example WR56,T24,WR,182.0,10,10,0.0,182.0,0.0,137
EX105,Example WR57,T25,WR,179.4,10,11,0.025,179.4,0.0,138
EX106,Example WR58,T26,WR,176.8,10,12,0.05,176.8,0.0,139
EX150,Example TE18,T18,TE,190.6,3,12,0.1,190.6,0.0,140
EX125,Example QB17,T17,QB,321.8,3,11,0.075,321.8,0.0,141
EX107,Example WR59,T27,WR,174.2,10,13,0.075,174.2,0.0,142
EX108,Example WR60,T28,WR,171.6,10,14,0.1,171.6,0.0,143
EX151,Example TE19,T19,TE,187.4,4,13,0.125,187.4,0.0,144
EX126,Example QB18,T18,QB,316.6,3,12,0.1,316.6,0.0,145
EX152,Example TE20,T20,TE,184.2,4,14,0.15,184.2,0.0,146
EX127,Example QB19,T19,QB,311.4,4,13,0.125,311.4,0.0,147
EX153,Example TE21,T21,TE,181.0,4,5,0.0,181.0,0.0,148
EX157,Example K1,T01,K,150.0,1,5,0.025,150.0,0.0,149
EX128,Example QB20,T20,QB,306.2,4,14,0.15,306.2,0.0,150
EX158,Example K2,T02,K,148.8,1,6,0.05,148.8,0.0,151
EX173,Example DEF1,T01,DEF,145.0,1,5,0.025,145.0,0.0,152
EX154,Example TE22,T22,TE,177.8,4,6,0.025,177.8,0.0,153
EX159,Example K3,T03,K,147.6,1,7,0.075,147.6,0.0,154
EX174,Example DEF2,T02,DEF,144.0,1,6,0.05,144.0,0.0,155
EX129,Example QB21,T21,QB,301.0,4,5,0.0,301.0,0.0,156
EX160,Example K4,T04,K,146.4,1,8,0.1,146.4,0.0,157
EX155,Example TE23,T23,TE,174.6,4,7,0.05,174.6,0.0,158
EX175,Example DEF3,T03,DEF,143.0,1,7,0.075,143.0,0.0,159
EX161,Example K5,T05,K,145.2,1,9,0.125,145.2,0.0,160
EX130,Example QB22,T22,QB,295.8,4,6,0.025,295.8,0.0,161
EX176,Example DEF4,T04,DEF,142.0,1,8,0.1,142.0,0.0,162
EX162,Example K6,T06,K,144.0,1,10,0.15,144.0,0.0,163
EX156,Example TE24,T24,TE,171.4,4,8,0.075,171.4,0.0,164
EX177,Example DEF5,T05,DEF,141.0,1,9,0.125,141.0,0.0,165
EX163,Example K7,T07,K,142.8,2,11,0.0,142.8,0.0,166
EX131,Example QB23,T23,QB,290.6,4,7,0.05,290.6,0.0,167
EX178,Example DEF6,T06,DEF,140.0,1,10,0.15,140.0,0.0,168
EX164,Example K8,T08,K,141.6,2,12,0.025,141.6,0.0,169
EX179,Example DEF7,T07,DEF,139.0,2,11,0.0,139.0,0.0,170
EX165,Example K9,T09,K,140.4,2,13,0.05,140.4,0.0,171
EX132,Example QB24,T24,QB,285.4,4,8,0.075,285.4,0.0,172
EX180,Example DEF8,T08,DEF,138.0,2,12,0.025,138.0,0.0,173
EX166,Example K10,T10,K,139.2,2,14,0.075,139.2,0.0,174
EX181,Example DEF9,T09,DEF,137.0,2,13,0.05,137.0,0.0,175
EX167,Example K11,T11,K,138.0,2,5,0.1,138.0,0.0,176
EX182,Example DEF10,T10,DEF,136.0,2,14,0.075,136.0,0.0,177
EX168,Example K12,T12,K,136.8,2,6,0.125,136.8,0.0,178
EX183,Example DEF11,T11,DEF,135.0,2,5,0.1,135.0,0.0,179
EX169,Example K13,T13,K,135.6,3,7,0.15,135.6,0.0,180
EX184,Example DEF12,T12,DEF,134.0,2,6,0.125,134.0,0.0,181
EX170,Example K14,T14,K,134.4,3,8,0.0,134.4,0.0,182
EX185,Example DEF13,T13,DEF,133.0,3,7,0.15,133.0,0.0,183
EX171,Example K15,T15,K,133.2,3,9,0.025,133.2,0.0,184
EX186,Example DEF14,T14,DEF,132.0,3,8,0.0,132.0,0.0,185
EX172,Example K16,T16,K,132.0,3,10,0.05,132.0,0.0,186
EX187,Example DEF15,T15,DEF,131.0,3,9,0.025,131.0,0.0,187
EX188,Example DEF16,T16,DEF,130.0,3,10,0.05,130.0,0.0,188
